id;phrase;class
87;Las mujeres trans no pueden ser oprimidas porque son hombres realmente.;LGBTQIA+fóbico
88;La transfobia no existe, les decimos la verdad.;LGBTQIA+fóbico
89;Eres lesbiana porque no has probado un buen pene.;LGBTQIA+fóbico
90;Pareces más mujer que yo (a un chico trans).;LGBTQIA+fóbico
91;A ver muestrame cómo te veías antes.;LGBTQIA+fóbico
92;Soy pansexual porque me gustan las mujeres y las mujeres trans.;LGBTQIA+fóbico
93;Se que dices que te llamas oliver, pero para mí siempre serás sofía.;LGBTQIA+fóbico
94;Hola amigO (a una chica trans).;LGBTQIA+fóbico
95;Ya decídete existen sólo dos géneros, hombre y mujer.;LGBTQIA+fóbico
96;Si eres no binario debes ser andrógine.;LGBTQIA+fóbico
97;Prefiero tener un hijo muerto que uno gay.;LGBTQIA+fóbico
98;Sólo las mujeres menstruan.;No LGBTQIA+fóbico
99;Si tú dices ser mujer entonces yo soy una puerta.;LGBTQIA+fóbico
100;Ser mujer es la hembra humana, es una realidad biológica.;LGBTQIA+fóbico
101;Porque tú te vistes femenino es porque no nos toman en serio a los chicos trans.;LGBTQIA+fóbico
102;Qué pensarán los niños de esta aberración a la naturaleza.;LGBTQIA+fóbico
103;No te da pena intimidar a las mujeres entrando a su baño.;LGBTQIA+fóbico
104;Deberían tener un baño para ellos!! cuida a los niños ya han existido casos tenaces en ello y yo como mujer no me siento cómoda con un hombre sea trans o como sea en el baño en que estoy.;LGBTQIA+fóbico
105;Sí está muy MAL, que creas qué eres un hombre cuándo eres una dama hermosa.;LGBTQIA+fóbico
106;Muchas mujeres sufren por perder sus senos por cáncer, está chica queriendo mutilarse la verdad que cada vez entiendo menos al ser humano.;LGBTQIA+fóbico
107;Soy chico trans femenino! El problema no es que asuman mis pronombres, lo entiendo! El problema es cuando los corriges, y aún así te ignoran.;LGBTQIA+fóbico
108;Tu mamá cambiaba de género siempre solo para llamar la atencion.;LGBTQIA+fóbico
109;Visibilidad trans? o identidad sexista y patriarcal.;LGBTQIA+fóbico
110;Doctrina pura.;LGBTQIA+fóbico
111;Nos hace falta una guerra para que todos se hagan hombres como antes.;LGBTQIA+fóbico
112;Que falta de respeto a los símbolos patrios y a la humanidad (refiriendose a una marcha trans en un país latinoamericano).;LGBTQIA+fóbico
113;Cada día es un paso más en el progreso en la lucha por los derechos trans.;No LGBTQIA+fóbico
114;Jajajaja cuando mueran los veré en mi sueño y les diré el mundo decía la verdad no lo que se creen;LGBTQIA+fóbico
115;si no se aceptaron como nacieron imagínate que los demás te acepten.;LGBTQIA+fóbico
116;Nunca van a dejar se ser lo que, nisiquiera vistiendose o operandose,no que se cargan entre las piernas no se puede cambiar y tampoco su biología.;LGBTQIA+fóbico
117;Prefieren hacerle desfiles a los maricas por cambiar su aspecto, son la burla.;LGBTQIA+fóbico
118;Marcha orgullo = Marcha de la perversión.;LGBTQIA+fóbico
119;Eres mujer, tienes que reconocerte cómo naciste.;LGBTQIA+fóbico
120;Pero eres chica te van a ver como una niña;LGBTQIA+fóbico
121;Que llorón, igual ante de una mesa de cirugía, deberías pasar por sillón de un psicólogo.;LGBTQIA+fóbico
122;No entiendo cual es la necesidad de que las personas opinen tanto sobre el como se identifican los demás, enserio que tan difícil es aceptar que el es un chico.;No LGBTQIA+fóbico
123;pero es que entonces no os podéis enfadar si nos confundimos o sea yo me encuentro a este espécimen y no sé que es.;LGBTQIA+fóbico
124;Parece que para ella es un juego. Yo pienso si me identificaría como mujer quisiera verme y que me vieran como tal.;LGBTQIA+fóbico
125;Un hombre hetero busca una mujer. Nacida mujer. Así sería más correcto.;LGBTQIA+fóbico
126;Mujer con barba.;LGBTQIA+fóbico
127;No eres un hombre bajo. Eres una mujer de estatura media (a un hombre trans).;LGBTQIA+fóbico
128;Sus caderas de mujer jajaj (a un hombre trans).;LGBTQIA+fóbico
129;pues si es esa supuestamente una *bandera* es una estupidez.;LGBTQIA+fóbico
130;No puedes engañar a la biología (una persona trans).;LGBTQIA+fóbico
131;Si es trans sal de ahí y ya.;LGBTQIA+fóbico
132;Su amor no daña, tu odio sí (hacia personas LGBTQA+);No LGBTQIA+fóbico
133;Discriminación es discriminación, aun cuando la gente diga que es *libertad de expresión*.;No LGBTQIA+fóbico
134;Si quieres insultarme, adelante, pero no a los cientos de jóvenes ahí fuera que están intentando entender quienes son. No se lo merecen. (dice una persona LGBTQA+);No LGBTQIA+fóbico
135;Ojalá podamos tener algún día una sociedad más igualitaria en la que nadie se crea superior a los demás y podamos vivir en paz respetando y amando.;No LGBTQIA+fóbico
136;Creo que el amor viene en todas las formas, tamaños y colores. Ya seas LGBT o straight, tu amor es válido, hermoso y un regalo increíble.;No LGBTQIA+fóbico
137;Me entristece saber que muchos se aprovechan de Dios y de la religión para discriminar a los gays y lesbianas.;No LGBTQIA+fóbico
138;¿Qué tal simplemente ser un ser humano normal y ser del género que naciste?;LGBTQIA+fóbico
139;Asexual = Tener la necesidad biológica comprimida.;LGBTQIA+fóbico
140;Yo solo se que esto es una completa estupidez (hacia una persona LGBTQA+).;LGBTQIA+fóbico
141;Terroristas (cuando persona LGBTQA+ hacen una marcha pacífica);LGBTQIA+fóbico
142;De verdad tantas distorsiones mentales e invensiones quieren imponer esta COMUNIDAD LGBTQA+.;LGBTQIA+fóbico
143;Por más que quieras no serás mujer.;LGBTQIA+fóbico
144;Cuando sean adultos se va a dar cuenta de la tontería que dicen.;LGBTQIA+fóbico
145;Mala suerte amiga si así Dios te hizo es por algo, saludos (hacia una persona LGBTQA+).;LGBTQIA+fóbico
146;Usas maquillaje y te vistes como mujer, no eres hombre trans.;LGBTQIA+fóbico
147;Pues más hombre que tú si soy (hacia un hombre trans);LGBTQIA+fóbico
148;Me daría vergüenza se así (hacia una persona LGBTQA+).;LGBTQIA+fóbico
149;Así es tu nombre y lo va a ser hasta que te cambies el nombre oficialmente.;LGBTQIA+fóbico
150;"Dios creó al hombre y a la mujer para que la mujer esté con el 
hombre y el hombre con la mujer.";LGBTQIA+fóbico
151;Ojalá te recuperes.;LGBTQIA+fóbico
152;Pero no es peor, someter a tu cuerpo a una serie de tratamientos que te harán daño a la larga? y si es un trastorno mental, la terapia psicológica y psiquiátrica no es la mejor opción?;LGBTQIA+fóbico
153;Una mujer trans que no se hormona? Ya lo he visto todo…;LGBTQIA+fóbico
154;Pero que trans? Tú eres gay y ya está tú no representas al colectivo trans.;LGBTQIA+fóbico
155;al psiquiatra!!!! tanta tontería el hombre este.;LGBTQIA+fóbico
156;Eso pasa por intentar normalizar aberraciones.;LGBTQIA+fóbico
157;Pides respeto y aceptación pero tú no lo tuviste contigo mismo como hombre. No exigas lo que no haces;LGBTQIA+fóbico
158;Ese señor es un hombre !! Me parece vergonzoso!!!!;LGBTQIA+fóbico
159;El calvo ese dice que es tía? Y yo me siento astronauta.;LGBTQIA+fóbico
160;La nueva ley trans ha permitido que lleguemos a este nivel de estupidez.;LGBTQIA+fóbico
161;Espero que tu hijo no se contagie.;LGBTQIA+fóbico
162;Lo han normalizado tanto que ya a nadie le importa y ellos creen que es moda gracias a Dios en mi familia no hay moda.;LGBTQIA+fóbico
163;Tienes una enfermedad, se llama trastorno de identidad de género.;LGBTQIA+fóbico
164;Tienen distorsionada la realidad, creen que todos los odian.;LGBTQIA+fóbico
165;Que venga sodoma y gomorra.;LGBTQIA+fóbico
166;Saliste enfermito mental (a una chica trans).;LGBTQIA+fóbico
167;La hetero fobia existe.;LGBTQIA+fóbico
168;Y gracias a Dios la homofobia sigue existiendo.;LGBTQIA+fóbico
169;Vivir de ideologías no es sustentable, consiguete un buen psicólogo y un buen psiquiatra.;LGBTQIA+fóbico
170;No amigo, no todos estamos igual de trastornados que ustedes, por lo tanto no todos vamos a ser lgbtq+;LGBTQIA+fóbico
171;Que pena la sociedad que se nos está quedando por culpa de gente cómo tú que piensa que es normal este tipo de cosas, es un trastorno psicológico;LGBTQIA+fóbico
172;Siempre cuando conozcas a alguien debes decirle que eres trans o le estarías mintiendo.;LGBTQIA+fóbico
173;Para evitar que entren trans a los baños incorrectos deberían revisarles los genitales.;LGBTQIA+fóbico
174;No es transfobo no querer estar con un hombre que se cree mujer (la forma en que lo expresa es el problema).;LGBTQIA+fóbico
175;No estaría con un trans me gustan los hombres de verdad.;LGBTQIA+fóbico
176;Los trans son más lindos que lo cis (se considera transfobico porque los tratan como si fueran otra especie de personas).;LGBTQIA+fóbico
177;por qué una chica que se cree gorda estando delgada, la tratamos psicológicamente para que sea vea como es, pero a un chico que se cree chica le damos la razón??;LGBTQIA+fóbico
178;Dios mío por qué van en contra de lo divino Dios tenga misericordia...ser mujer es lo más lindo.;LGBTQIA+fóbico
179;A todos los niños lindos que están leyendo esto quiero que sepan que son los mejores y que no se rindan así de facil por creer que no los aceptarán, hay mucha gente que siempre los respetará.;No LGBTQIA+fóbico
180;Ámense como eran, lo natural y sano es hermoso.;LGBTQIA+fóbico
181;No estés con una mujer bisexual porque tiene más posibilidades de engañarte.;LGBTQIA+fóbico
182;Dios creo a adan y eva no a adan y ewi o eva y dayana por eso los homosexuales son una plaga y no deberían existir.;LGBTQIA+fóbico
183;Sencillamente se me hacen ridículos estos hombres disfrazados, que piensan que compiten con una mujer.;LGBTQIA+fóbico
184;No, no son transtornos, un transtorno es tu homofobia.;No LGBTQIA+fóbico
185;Que menstruen es una muestra de que realmente son mujeres.;LGBTQIA+fóbico
186;Tu genero no depende de ti ni de tu percepción, depende de la biología. Sentirte como hombre no te vuelve uno. Hablamos de lo que eres biológicamente, no de como te sientes.;LGBTQIA+fóbico
187;Yo puedo hacer que te vuelvas mujer otra vez (hacia un hombre trans).;LGBTQIA+fóbico
188;Ojalá se cure de la enfermedad la hija (hacia un hombre trans).;LGBTQIA+fóbico
189;"Una cosa es que un hombre este con un hombre o una mujer con mujer,
pero contradecir a la naturaleza es pasarse.";LGBTQIA+fóbico
190;Da vergüenza nuestra propia humanidad (En relación a la existencia de personas LGTBQA+);LGBTQIA+fóbico
191;Voy a rezar para que te cures.;LGBTQIA+fóbico
192;Ahora decir la verdad le llaman transfobia?;LGBTQIA+fóbico
193;Tan facil que es ser normal (hacia una persona LGTBQA+);LGBTQIA+fóbico
194;No eres hombre, por dentro hay ovarios, ovulos, matriz, vagina y puede tener bebés.;LGBTQIA+fóbico
195;Entonces si eres hetero se supone que te gustarían los hombres, pero como te crees uno entonces te gustan las mujeres aunque eso sería lesbiana.;LGBTQIA+fóbico
196;Normalicen decir personas menstruantes y no solo chicas.;No LGBTQIA+fóbico
197;Nunca serás hombre como nosotros (hacia un hombre trans).;LGBTQIA+fóbico
